epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0547,1.83411,4.01275,3.88839,1.80928,0.02392,1,0.02558,0.01423,0.02392,1,0.02558,0.01333,1.47683,2.06166,inf,2.84282,0.00034296,0.00034296,0.00034296
2,36.8016,1.54608,2.60119,2.49121,1.60686,0.00787,0.9,0.05092,0.01101,0.00186,0.3,0.00098,0.00015,2.63805,4309,inf,40.1745,0.000695589,0.000695589,0.000695589
3,54.0296,1.58466,2.69197,2.25765,1.57767,0.01275,0.7,0.04296,0.0116,0.00203,0.5,0.00224,0.00028,2.76599,63.8075,709.352,25.1694,0.0010435,0.0010435,0.0010435
4,71.0375,1.65266,2.47962,2.17932,1.66433,0.15031,0.6,0.21204,0.03563,0.14171,0.7,0.15283,0.02919,3.86117,3.30624,20.0918,5.79773,0.0013867,0.0013867,0.0013867
5,88.2642,1.66198,2.42442,2.00974,1.63991,0,0,0,0,0,0,0,0,5.05059,794.004,396.656,106.901,0.00139127,0.00139127,0.00139127
6,105.287,1.58626,2.34456,1.79564,1.62007,0.02035,0.2,0.00774,0.00125,0,0,0,0,3.628,23.1718,14.6057,9.8876,0.00138184,0.00138184,0.00138184
7,122.431,1.56245,2.57115,1.54138,1.54209,0.01634,0.2,0.01,0.00269,0,0,0,0,3.2832,4.68343,3.55226,2.56058,0.00137241,0.00137241,0.00137241
8,140.034,1.39084,2.19078,1.34939,1.46964,0.00143,0.4,0.00105,0.00013,0,0,0,0,3.90236,8.93623,104.625,7.65064,0.00136298,0.00136298,0.00136298
9,154.283,1.44477,2.19765,1.331,1.47702,1,0.79199,0.96833,0.39833,0.98811,0.7,0.7024,0.45453,1.94343,2.05907,1.99393,2.15836,0.00135355,0.00135355,0.00135355
10,167.526,1.31494,2.07231,1.287,1.40477,0.52827,0.9,0.68259,0.25788,0.51668,0.7,0.41892,0.2949,2.09413,1.561,1.5108,2.22082,0.00134412,0.00134412,0.00134412
11,180.509,1.32743,2.03139,1.16118,1.42368,0.98926,1,0.995,0.58148,0.98926,1,0.995,0.58616,1.55482,1.42338,1.24807,1.81827,0.00133469,0.00133469,0.00133469
12,193.708,1.35253,2.09366,1.20899,1.45204,0.88708,1,0.97682,0.52779,0.88708,1,0.97682,0.6163,1.57271,1.3037,1.13268,1.82876,0.00132525,0.00132525,0.00132525
13,208.175,1.27351,1.98479,1.11356,1.37002,0.99016,1,0.995,0.59646,0.99016,1,0.995,0.46144,1.24407,1.47276,0.97716,1.751,0.00131582,0.00131582,0.00131582
14,225.452,1.26427,2.03955,1.03926,1.39268,0.99239,1,0.995,0.59745,0.99239,1,0.995,0.58724,1.51757,1.32196,0.83068,1.94905,0.00130639,0.00130639,0.00130639
15,243.335,1.2637,2.01604,0.99188,1.38864,0.98659,1,0.995,0.68709,0.98659,1,0.995,0.60341,1.13484,1.20863,0.84358,1.73903,0.00129696,0.00129696,0.00129696
16,261.221,1.2119,1.92292,0.9792,1.35525,0.98552,1,0.995,0.64327,0.98552,1,0.995,0.56705,1.35008,1.25858,0.91587,1.73791,0.00128753,0.00128753,0.00128753
17,278.718,1.16873,1.85764,0.90098,1.36172,0.99293,1,0.995,0.60638,0.99293,1,0.995,0.5671,1.43406,1.32527,0.84054,1.82381,0.0012781,0.0012781,0.0012781
18,296.29,1.24174,1.91196,0.90625,1.36855,0.98836,1,0.995,0.70302,0.98836,1,0.995,0.5412,1.06407,1.14748,0.74749,1.64683,0.00126867,0.00126867,0.00126867
19,313.806,1.24426,1.95634,0.94031,1.3798,0.85995,1,0.995,0.64203,0.85995,1,0.995,0.50046,1.18035,1.27553,0.90833,1.72489,0.00125923,0.00125923,0.00125923
20,331.326,1.19182,1.93788,0.87825,1.36996,0.98882,1,0.995,0.64483,0.98882,1,0.995,0.55845,1.21555,1.19416,0.87851,1.76449,0.0012498,0.0012498,0.0012498
21,348.732,1.12551,1.78349,0.81875,1.32081,0.98453,1,0.995,0.65529,0.98453,1,0.995,0.56078,1.26103,1.37086,0.71045,1.71398,0.00124037,0.00124037,0.00124037
22,366.2,1.13797,1.80735,0.80867,1.30508,0.95911,1,0.995,0.69012,0.95911,1,0.995,0.5822,1.1634,1.23499,0.78119,1.83166,0.00123094,0.00123094,0.00123094
23,383.587,1.10495,1.81424,0.80273,1.29425,0.99206,1,0.995,0.68835,0.99206,1,0.995,0.65434,1.09913,1.06706,0.67823,1.63055,0.00122151,0.00122151,0.00122151
24,401.481,1.13536,1.84207,0.81293,1.29475,0.97382,1,0.995,0.65344,0.97382,1,0.995,0.60156,1.13822,1.14763,0.75828,1.76797,0.00121208,0.00121208,0.00121208
25,418.905,1.09458,1.86342,0.79261,1.29139,0.98936,1,0.995,0.67644,0.98936,1,0.995,0.52082,1.28131,1.37928,0.67338,1.76039,0.00120265,0.00120265,0.00120265
26,436.265,1.11485,1.82037,0.77464,1.30865,0.99405,1,0.995,0.61665,0.99405,1,0.995,0.6154,1.35088,1.20812,0.64742,1.74998,0.00119322,0.00119322,0.00119322
27,453.815,1.13416,1.78221,0.74907,1.31053,0.9838,1,0.995,0.70783,0.9838,1,0.995,0.63436,1.13822,1.05187,0.63593,1.74181,0.00118378,0.00118378,0.00118378
28,471.203,1.11051,1.73571,0.74267,1.28398,0.99122,1,0.995,0.72586,0.99122,1,0.995,0.59732,1.05542,1.03491,0.65903,1.70965,0.00117435,0.00117435,0.00117435
29,488.717,1.07841,1.72893,0.72224,1.27258,0.99361,1,0.995,0.71689,0.99361,1,0.995,0.60079,1.1282,1.16864,0.57505,1.69617,0.00116492,0.00116492,0.00116492
30,506.271,1.0366,1.67336,0.72312,1.26625,0.99301,1,0.995,0.7294,0.99301,1,0.995,0.63008,1.11405,1.15638,0.62258,1.69802,0.00115549,0.00115549,0.00115549
31,524.223,1.07295,1.73772,0.73584,1.26985,0.99412,1,0.995,0.64888,0.99412,1,0.995,0.49246,1.39011,1.28173,0.66445,1.89839,0.00114606,0.00114606,0.00114606
32,541.835,1.06215,1.71213,0.69207,1.23487,0.99349,1,0.995,0.65941,0.99349,1,0.995,0.60118,1.28842,1.13004,0.66873,1.87319,0.00113663,0.00113663,0.00113663
33,559.261,1.01583,1.62412,0.69178,1.25753,0.99315,1,0.995,0.73184,0.99315,1,0.995,0.59599,0.96362,1.11503,0.71271,1.55754,0.0011272,0.0011272,0.0011272
34,576.749,0.99583,1.68769,0.67646,1.24332,0.98553,1,0.995,0.71251,0.98553,1,0.995,0.59635,1.17557,1.13808,0.66351,1.73209,0.00111776,0.00111776,0.00111776
35,594.086,1.0083,1.67959,0.65595,1.23017,0.99375,1,0.995,0.70652,0.99375,1,0.995,0.54207,1.04431,1.33452,0.60159,1.6101,0.00110833,0.00110833,0.00110833
36,611.581,1.06104,1.72745,0.68665,1.2606,0.98719,1,0.995,0.66986,0.98719,1,0.995,0.56022,1.18061,1.25467,0.65496,1.66983,0.0010989,0.0010989,0.0010989
37,628.869,1.04997,1.64241,0.67827,1.25679,0.99339,1,0.995,0.73175,0.99339,1,0.995,0.6382,1.03345,1.0855,0.55452,1.642,0.00108947,0.00108947,0.00108947
38,646.724,1.00542,1.64377,0.68748,1.21807,0.98925,1,0.995,0.59417,0.98925,1,0.995,0.56799,1.29647,1.18592,0.6303,1.78306,0.00108004,0.00108004,0.00108004
39,664.241,0.96329,1.5798,0.63672,1.21563,0.99452,1,0.995,0.69978,0.99452,1,0.995,0.61474,1.18744,1.13669,0.61903,1.73787,0.00107061,0.00107061,0.00107061
40,679.139,0.9521,1.55324,0.63926,1.22483,0.99398,1,0.995,0.66478,0.99398,1,0.995,0.68781,1.16309,1.2011,0.52907,1.7307,0.00106118,0.00106118,0.00106118
41,692.054,0.96797,1.60377,0.64955,1.22209,0.99296,1,0.995,0.68591,0.99296,1,0.995,0.5947,1.13311,1.19927,0.66372,1.69867,0.00105174,0.00105174,0.00105174
42,708.251,0.92001,1.5056,0.60019,1.17276,0.99226,1,0.995,0.66269,0.99226,1,0.995,0.54386,1.13725,1.26802,0.56773,1.72195,0.00104231,0.00104231,0.00104231
43,724.639,0.93758,1.59379,0.62796,1.18071,0.99384,1,0.995,0.68777,0.99384,1,0.995,0.58466,1.19963,1.14003,0.58149,1.7437,0.00103288,0.00103288,0.00103288
44,754.817,0.96962,1.5523,0.60857,1.21272,0.99321,1,0.995,0.75427,0.99321,1,0.995,0.58351,0.84533,1.17985,0.51982,1.4609,0.00102345,0.00102345,0.00102345
45,776.484,1.0251,1.57413,0.62993,1.25004,0.99234,1,0.995,0.71764,0.99234,1,0.995,0.56331,1.17291,1.28716,0.55523,1.5524,0.00101402,0.00101402,0.00101402
46,791.081,0.95783,1.61656,0.60325,1.19609,0.99402,1,0.995,0.74111,0.99402,1,0.995,0.60655,1.03832,1.2072,0.53354,1.547,0.00100459,0.00100459,0.00100459
47,806.277,0.96352,1.62048,0.57777,1.21884,0.99371,1,0.995,0.75582,0.99371,1,0.995,0.63954,1.00349,1.08428,0.48928,1.51939,0.000995156,0.000995156,0.000995156
48,822.75,0.93932,1.58403,0.58959,1.18575,0.99345,1,0.995,0.74586,0.99345,1,0.995,0.64309,0.97521,1.10026,0.52033,1.5876,0.000985724,0.000985724,0.000985724
49,838.657,0.97264,1.50708,0.60546,1.19485,0.99388,1,0.995,0.77173,0.99388,1,0.995,0.58526,1.01138,1.43355,0.53106,1.66829,0.000976293,0.000976293,0.000976293
50,857.767,0.9819,1.6322,0.61187,1.21798,0.99246,1,0.995,0.70278,0.99246,1,0.995,0.61345,1.15832,1.194,0.51665,1.60709,0.000966861,0.000966861,0.000966861
51,874.664,0.96037,1.50149,0.61217,1.20187,0.9916,1,0.995,0.75753,0.9916,1,0.995,0.55794,1.04708,1.19289,0.47414,1.67372,0.00095743,0.00095743,0.00095743
52,891.595,0.93703,1.51014,0.57906,1.20069,0.99456,1,0.995,0.7194,0.99456,1,0.995,0.63552,1.04496,1.19574,0.50972,1.70412,0.000947999,0.000947999,0.000947999
53,908.447,0.91106,1.52385,0.57444,1.16855,0.99405,1,0.995,0.74908,0.99405,1,0.995,0.60519,1.0058,1.24113,0.49973,1.59462,0.000938567,0.000938567,0.000938567
54,925.305,0.95485,1.58048,0.5907,1.19431,0.99404,1,0.995,0.69646,0.99404,1,0.995,0.58772,0.98513,1.10867,0.52568,1.56501,0.000929136,0.000929136,0.000929136
55,942.232,0.90117,1.43267,0.58296,1.17701,0.99362,1,0.995,0.68278,0.99362,1,0.995,0.60084,1.18005,1.18345,0.57041,1.9428,0.000919704,0.000919704,0.000919704
56,959.238,0.8734,1.41349,0.54696,1.15661,1,1,0.995,0.70693,1,1,0.995,0.57787,1.14564,1.25159,0.53599,1.85069,0.000910273,0.000910273,0.000910273
57,976.295,0.95241,1.53851,0.59292,1.21034,0.99365,1,0.995,0.70801,0.99365,1,0.995,0.61662,1.1386,1.15763,0.52551,1.81559,0.000900842,0.000900842,0.000900842
58,993.235,0.86724,1.44314,0.53353,1.14564,0.99432,1,0.995,0.70746,0.99432,1,0.995,0.52689,1.14356,1.29921,0.55132,1.92087,0.00089141,0.00089141,0.00089141
59,1011.17,0.86874,1.43042,0.5392,1.1537,0.99334,1,0.995,0.67433,0.99334,1,0.995,0.56133,1.22342,1.30492,0.52579,1.81777,0.000881979,0.000881979,0.000881979
60,1028.57,0.8917,1.4361,0.53271,1.16384,0.99418,1,0.995,0.67615,0.99418,1,0.995,0.63333,1.15902,1.10543,0.55402,1.77388,0.000872547,0.000872547,0.000872547
61,1045.82,0.89704,1.47826,0.51079,1.15826,0.99467,1,0.995,0.75166,0.99467,1,0.995,0.64239,0.99424,1.18851,0.45445,1.69649,0.000863116,0.000863116,0.000863116
62,1063,0.92531,1.5307,0.54244,1.16757,0.99431,1,0.995,0.7272,0.99431,1,0.995,0.60854,1.11893,1.19208,0.48347,1.75742,0.000853685,0.000853685,0.000853685
63,1080.32,0.87369,1.4797,0.53395,1.14285,0.99402,1,0.995,0.74646,0.99402,1,0.995,0.64566,1.01789,1.10908,0.44601,1.80398,0.000844253,0.000844253,0.000844253
64,1096.48,0.85149,1.43516,0.52717,1.12392,0.99456,1,0.995,0.74341,0.99456,1,0.995,0.57991,1.00796,1.29172,0.48203,1.73212,0.000834822,0.000834822,0.000834822
65,1113.49,0.87741,1.49256,0.53211,1.13456,0.99407,1,0.995,0.7397,0.99407,1,0.995,0.60991,1.0834,1.1595,0.47231,1.8752,0.00082539,0.00082539,0.00082539
66,1130.57,0.80961,1.35059,0.51362,1.12203,0.99436,1,0.995,0.74968,0.99436,1,0.995,0.6557,1.04333,1.12595,0.45365,1.75272,0.000815959,0.000815959,0.000815959
67,1147.82,0.84024,1.37777,0.50739,1.11264,0.99433,1,0.995,0.74651,0.99433,1,0.995,0.61715,1.0029,1.37897,0.42828,1.75423,0.000806528,0.000806528,0.000806528
68,1164.78,0.84512,1.42171,0.54549,1.13781,0.99425,1,0.995,0.74496,0.99425,1,0.995,0.59886,1.03131,1.18846,0.43389,1.67116,0.000797096,0.000797096,0.000797096
69,1181.73,0.84704,1.44403,0.51883,1.13071,0.99444,1,0.995,0.76383,0.99444,1,0.995,0.56541,0.82129,1.23357,0.40465,1.41458,0.000787665,0.000787665,0.000787665
70,1198.64,0.822,1.37752,0.49603,1.11809,0.99401,1,0.995,0.74393,0.99401,1,0.995,0.61552,0.96296,1.14192,0.41665,1.57342,0.000778233,0.000778233,0.000778233
71,1215.68,0.82224,1.34074,0.51202,1.10415,0.99315,1,0.995,0.69655,0.99315,1,0.995,0.58538,1.11893,1.15096,0.47691,1.95284,0.000768802,0.000768802,0.000768802
72,1232.8,0.79716,1.43519,0.48856,1.10268,0.99344,1,0.995,0.78064,0.99344,1,0.995,0.58455,0.94325,1.17746,0.49359,1.59169,0.000759371,0.000759371,0.000759371
73,1249.85,0.77859,1.34842,0.48967,1.05808,0.99437,1,0.995,0.74652,0.99437,1,0.995,0.64993,1.04971,1.168,0.49397,1.75887,0.000749939,0.000749939,0.000749939
74,1265.12,0.76666,1.42445,0.48547,1.08898,0.99452,1,0.995,0.80623,0.99452,1,0.995,0.63149,0.89087,1.29601,0.43181,1.58384,0.000740508,0.000740508,0.000740508
